id,class
2001,N
2002,EI
2003,N
2004,EI
2005,N
2006,N
2007,N
2008,EI
2009,N
2010,N
2011,N
2012,N
2013,EI
2014,N
2015,N
2016,EI
2017,EI
2018,N
2019,EI
2020,N
2021,EI
2022,N
2023,EI
2024,N
2025,N
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,N
2034,N
2035,EI
2036,EI
2037,EI
2038,N
2039,EI
2040,EI
2041,EI
2042,EI
2043,EI
2044,EI
2045,EI
2046,EI
2047,EI
2048,EI
2049,IE
2050,N
2051,IE
2052,EI
2053,N
2054,N
2055,N
2056,N
2057,N
2058,EI
2059,EI
2060,EI
2061,EI
2062,EI
2063,EI
2064,EI
2065,N
2066,N
2067,N
2068,N
2069,N
2070,N
2071,EI
2072,EI
2073,EI
2074,EI
2075,N
2076,N
2077,N
2078,N
2079,N
2080,N
2081,N
2082,N
2083,N
2084,N
2085,N
2086,N
2087,EI
2088,N
2089,N
2090,EI
2091,N
2092,N
2093,N
2094,N
2095,N
2096,N
2097,N
2098,EI
2099,N
2100,N
2101,EI
2102,N
2103,EI
2104,N
2105,N
2106,EI
2107,EI
2108,N
2109,N
2110,N
2111,EI
2112,N
2113,N
2114,N
2115,N
2116,N
2117,N
2118,N
2119,N
2120,N
2121,EI
2122,N
2123,N
2124,IE
2125,EI
2126,N
2127,EI
2128,N
2129,N
2130,EI
2131,EI
2132,N
2133,N
2134,EI
2135,N
2136,EI
2137,N
2138,N
2139,N
2140,EI
2141,EI
2142,N
2143,EI
2144,EI
2145,EI
2146,EI
2147,EI
2148,EI
2149,EI
2150,EI
2151,EI
2152,EI
2153,N
2154,N
2155,N
2156,EI
2157,N
2158,N
2159,N
2160,EI
2161,EI
2162,EI
2163,EI
2164,EI
2165,EI
2166,EI
2167,N
2168,EI
2169,EI
2170,N
2171,EI
2172,N
2173,N
2174,IE
2175,N
2176,N
2177,N
2178,N
2179,N
2180,EI
2181,EI
2182,N
2183,N
2184,EI
2185,N
2186,N
2187,EI
2188,N
2189,N
2190,N
2191,N
2192,EI
2193,N
2194,N
2195,N
2196,EI
2197,EI
2198,EI
2199,N
2200,EI
2201,EI
2202,IE
2203,N
2204,N
2205,N
2206,N
2207,N
2208,EI
2209,IE
2210,EI
2211,N
2212,EI
2213,EI
2214,EI
2215,N
2216,N
2217,N
2218,IE
2219,N
2220,N
2221,EI
2222,N
2223,EI
2224,EI
2225,EI
2226,EI
2227,EI
2228,EI
2229,EI
2230,EI
2231,EI
2232,EI
2233,EI
2234,EI
2235,EI
2236,N
2237,EI
2238,N
2239,N
2240,N
2241,N
2242,EI
2243,EI
2244,EI
2245,EI
2246,N
2247,EI
2248,N
2249,N
2250,N
2251,N
2252,N
2253,N
2254,N
2255,N
2256,N
2257,N
2258,N
2259,EI
2260,EI
2261,EI
2262,EI
2263,N
2264,EI
2265,EI
2266,N
2267,EI
2268,EI
2269,N
2270,EI
2271,N
2272,EI
2273,N
2274,N
2275,EI
2276,EI
2277,EI
2278,N
2279,EI
2280,EI
2281,N
2282,EI
2283,N
2284,N
2285,N
2286,N
2287,N
2288,N
2289,N
2290,EI
2291,EI
2292,N
2293,EI
2294,N
2295,N
2296,N
2297,IE
2298,N
2299,N
2300,IE
2301,N
2302,N
2303,N
2304,N
2305,N
2306,EI
2307,N
2308,N
2309,IE
2310,IE
2311,IE
2312,N
2313,EI
2314,N
2315,EI
2316,EI
2317,N
2318,N
2319,N
2320,N
2321,N
2322,EI
2323,EI
2324,N
2325,N
2326,IE
2327,N
2328,N
2329,N
2330,N
2331,N
2332,IE
2333,EI
2334,N
2335,N
2336,N
2337,N
2338,N
2339,N
2340,IE
2341,N
2342,EI
2343,EI
2344,N
2345,EI
2346,N
2347,N
2348,N
2349,IE
2350,IE
2351,IE
2352,N
2353,EI
2354,N
2355,N
2356,N
2357,N
2358,N
2359,N
2360,N
2361,N
2362,N
2363,N
2364,N
2365,IE
2366,EI
2367,EI
2368,IE
2369,N
2370,EI
2371,N
2372,EI
2373,N
2374,EI
2375,N
2376,N
2377,N
2378,N
2379,N
2380,N
2381,EI
2382,N
2383,EI
2384,N
2385,EI
2386,EI
2387,EI
2388,N
2389,EI
2390,EI
2391,EI
2392,EI
2393,EI
2394,N
2395,IE
2396,N
2397,EI
2398,N
2399,N
2400,N
2401,EI
2402,IE
2403,N
2404,EI
2405,EI
2406,N
2407,N
2408,EI
2409,N
2410,EI
2411,N
2412,N
2413,N
2414,EI
2415,EI
2416,N
2417,IE
2418,IE
2419,EI
2420,EI
2421,EI
2422,N
2423,N
2424,N
2425,N
2426,EI
2427,EI
2428,EI
2429,N
2430,N
2431,N
2432,N
2433,N
2434,EI
2435,IE
2436,N
2437,EI
2438,N
2439,N
2440,N
2441,EI
2442,N
2443,IE
2444,EI
2445,N
2446,EI
2447,N
2448,EI
2449,N
2450,IE
2451,IE
2452,N
2453,EI
2454,IE
2455,EI
2456,N
2457,N
2458,N
2459,EI
2460,N
2461,IE
2462,N
2463,IE
2464,N
2465,EI
2466,N
2467,N
2468,EI
2469,EI
2470,IE
2471,EI
2472,EI
2473,N
2474,EI
2475,N
2476,N
2477,N
2478,N
2479,N
2480,N
2481,N
2482,EI
2483,EI
2484,N
2485,EI
2486,EI
2487,EI
2488,EI
2489,IE
2490,N
2491,IE
2492,N
2493,N
2494,EI
2495,N
2496,EI
2497,N
2498,N
2499,N
2500,EI
2501,N
2502,N
2503,N
2504,N
2505,N
2506,EI
2507,IE
2508,N
2509,EI
2510,N
2511,N
2512,EI
2513,EI
2514,N
2515,N
2516,N
2517,EI
2518,IE
2519,IE
2520,IE
2521,IE
2522,N
2523,N
2524,N
2525,N
2526,N
2527,N
2528,N
2529,EI
2530,N
2531,EI
2532,N
2533,EI
2534,EI
2535,N
2536,N
2537,EI
2538,N
2539,N
2540,EI
2541,N
2542,EI
2543,N
2544,N
2545,EI
2546,EI
2547,N
2548,IE
2549,N
2550,N
2551,N
2552,N
2553,N
2554,EI
2555,N
2556,N
2557,N
2558,N
2559,N
2560,EI
2561,N
2562,N
2563,EI
2564,N
2565,EI
2566,N
2567,N
2568,N
2569,N
2570,N
2571,N
2572,EI
2573,N
2574,N
2575,N
2576,EI
2577,N
2578,EI
2579,EI
2580,N
2581,N
2582,N
2583,N
2584,EI
2585,N
2586,EI
2587,N
2588,N
2589,N
2590,N
2591,EI
2592,EI
2593,N
2594,N
2595,IE
2596,IE
2597,EI
2598,EI
2599,EI
2600,N
2601,IE
2602,EI
2603,EI
2604,EI
2605,N
2606,IE
2607,N
2608,EI
2609,N
2610,N
2611,EI
2612,N
2613,N
2614,N
2615,N
2616,N
2617,N
2618,EI
2619,N
2620,EI
2621,N
2622,IE
2623,N
2624,N
2625,N
2626,N
2627,N
2628,N
2629,N
2630,N
2631,N
2632,EI
2633,EI
2634,EI
2635,N
2636,IE
2637,IE
2638,EI
2639,N
2640,N
2641,EI
2642,N
2643,N
2644,N
2645,EI
2646,EI
2647,N
2648,N
2649,EI
2650,EI
2651,EI
2652,N
2653,N
2654,EI
2655,EI
2656,EI
2657,EI
2658,EI
2659,EI
2660,EI
2661,EI
2662,EI
2663,EI
2664,EI
2665,EI
2666,N
2667,N
2668,N
2669,EI
2670,EI
2671,EI
2672,EI
2673,N
2674,EI
2675,EI
2676,EI
2677,EI
2678,EI
2679,EI
2680,EI
2681,N
2682,EI
2683,N
2684,EI
2685,IE
2686,EI
2687,EI
2688,N
2689,EI
2690,EI
2691,N
2692,N
2693,N
2694,N
2695,N
2696,N
2697,EI
2698,N
2699,N
2700,N
2701,N
2702,N
2703,N
2704,EI
2705,EI
2706,EI
2707,IE
2708,N
2709,N
2710,N
2711,N
2712,EI
2713,N
2714,N
2715,N
2716,EI
2717,N
2718,N
2719,IE
2720,EI
2721,EI
2722,EI
2723,EI
2724,EI
2725,N
2726,IE
2727,EI
2728,N
2729,N
2730,N
2731,N
2732,EI
2733,EI
2734,EI
2735,EI
2736,EI
